"screen_name","mentions_screen_name"
"0db233","f530e5,d94c88,9989c4"
"0dc4bc","ab9a41,e5a84a,a837b8,ab9a41"
"0dc9e7","60775a"
"0dd299","1397ce"
"0df487","c9b030,07f610,e57c4e,4d5b89"
"0e0de7","11dc47,31cf23"
"0e12bb","be9ea9,be9ea9"
"0e23ef","ff7a41,28683e"
"0e268b","0e268b"
"0e2aee","9199ba,07f610"
"0e3ecf","7f8b7f"
"0e6014","d4cbe1,07f610"
"0e6adc","d781c7,b3cdb3,b7f1f1,d781c7,ed8047,30fc6b,d5b466,4a2f14,d781c7,2ee7cc,b3cdb3"
"0e9998","6824f1,7fa3b7,56ea8b"
"0ea6f5","cc7bc6"
"0eab10","07f610"
"0eabea","0e5428"
"0eae05","312ee6"
"0eb902","43b1cc,5e1fb4"
"0ecd08","22a592"
"0f0352","ce918f,539c87,0ef636,6c64c2,d18e61,0ef636,6c64c2,d18e61,6c64c2,d18e61"
"0f14b5","1e7e2a,1b1e15"
"0f36ff","daa0fc"
"0f3e5f","6c64c2,80e40b,29d505,934447,29fc6f,900150,628a9d"
"0f5941","aefe45"
"0f6caa","62c428,31cf23,ff7a41"
"0f821b","a66f85"
"0f8ca5","5da04b"
"0f8eb9","1397ce"
"0fae19","31cf23"
"0fd4b0","e6b458"
"10128c","7aaa93"
"101e6d","c7415e,11c2b1"
"102479","312ee6"
"103bed","b25a71"
"103f7c","31cf23"
"104305","31cf23"
"10574f","81b6eb,d4cbe1"
"105e55","fdd6b2"
"107867","07f610"
"107cbe","04a939,d365ba,4b5818,25e7c3,d9cc05"
"108585","609f53"
"10e91b","07f610"
"11075d","1352f3"
"112b29","85a08f,f16109,9979b6"
"113627","923b87,11c2b1"
"114fe0","f6b0e0,2bb7dd"
"117953","704579,07f610"
"118108","97282b,6b5347"
"1182c6","07f610"
"118d69","7fb559,ab9a41"
"119715","926842,d87609"
"11a315","78bd20,c9de91"
"11a615","ff7a41,617d42"
"11af0d","31cf23,1397ce,31cf23,1397ce"
"11c63a","1cd9a7"
"11db46","0dae4a"
"124596","82b67c,31cf23,5e1fb4,82b67c,82b67c"
"128e3a","81cf80"
"12c57a","415be8,2bc13a"
"12f4eb","d4cbe1"
"12ff50","ae3ffa,d96e20,3b23c2,a5c6d8,d9828d,7ad1c9,4b6f5b,f7eaad"
"12ffe8","ffae3a,35be99,f62daa,9dea5c"
"130452","44fe2f"
"13094d","5a29a7"
"130f18","3cfe41,07f610,1397ce"
"131895","1b47f7,867001,a85fbc,84cd34,e0ae22,35be99,867001,a85fbc,84cd34,e0ae22,35be99,e0ae22"
"131c78","1cf59a"
"1323b3","ca5a01"
"1337e6","1397ce"
"133e9b","053851,3260b0,c6b5fe"
"133ede","4f8fb2,68741a,0c8c38,68741a,4f8fb2,07f610"
"134439","41489f,b1b9a9"
"134de5","ec9e19"
"13661a","e748f3"
"1367e9","b17bf8"
"138642","ff7a41"
"13886b","33b4f6,579f44,e164dd"
"139a4c","c0bffc"
"139a7e","18126e"
"13a7a0","d4c4a1,b5af8f,82158a,b5af8f"
"13b768","750ab6"
"13c2b1","edfcb4"
"13e6d0","7adb96,06c0e3"
"13e979","b2f5ff,b2f5ff"
"1422da","fe8714,e80079,1c8960"
"14272d","9f8d75"
"143365","7fc18c,40a9d6"
"144bf6","5e1fb4"
"1454a8","1d0b61"
"147d7c","5da04b"
"14e54e","4ef7e5"
"14e8c8","07f610"
"14eadc","07f610,07f610"
"14fce5","d0d6b1,371cf1,beb454,34357b,1766cd,1397ce"
"151ef0","0aafb6,07f610"
"1522a4","c6583a,5bd1d2,ee83e3,9eeed1,09154d,93a04b,4c798e"
"152e08","3be75e,eb1333"
"153352","e39bcf"
"153c57","07f610"
"154a7a","1397ce"
"15ab36","1d0b61,746e23"
"15ae57","0db043"
"15b759","84a6e2"
"15bb26","a68e69,051de3"
"15f311","96aa04"
"15f56a","73bebc,31cf23,c4ab10"
"15f864","001c78,614255"
"15fcba","07f610"
"162687","fc63e6"
"16270e","617d42,ff7a41,617d42,ff7a41,77e9dc"
"163376","715ad4,387918,900150"
"164137","b670fd"
"1657b9","722adf"
"166187","b2dd08"
"16685b","ead5d6"
"16874d","ff7a41"
"16a1c7","390d04"
"16e1e2","8cb617,998413,675759,a3d24f,c671ce,ab15d6,4f8804,998413"
"16f1b8","5e1fb4"
"16f462","374e88"
"1713a3","908c97"
"17240e","e2940e,013806"
"1755fb","4e6b78,736121,507cba,507cba,4e6b78,21f63c,baf5bd,507cba,4e6b78,21f63c"
"175e9e","1ff3b0,48ac7a,052eb3,49a1ad,75756e,06a46a,3016e1,2643a4,10cd18"
"176a75","fc4bed,07f610"
"176e42","46275a"
"1770a3","cad06a"
"178077","07f610"
"17895b","c9b030,42eec5,911a2d,365780,42eec5,178952,1397ce,780924"
"17a0d0","9c8299"
"17a4ef","f48614,31cf23"
"17b44e","20decd"
"17bed7","f530e5,d94c88,9989c4"
"17bf5b","fdc651"
"17c5bd","a191ad"
"17db2b","1397ce"
"17e4cf","d0d6b1,dda016"
"17ea7e","7f0835,7ff897,d94c88,979bf2"
"17edac","35be99"
"18022c","a85dfd,3326e4"
"183e99","bf0b72"
"184071","87849b,a39b0f"
"18577c","1cd9a7"
"189d0f","7b8757,326750"
"18a965","faca89"
"18aa24","c201fc,4668ef,0fd4e8,9e54a8,4112f6,9f1e80,4e826d,30fc6b,2a8986,c36cef"
"18bf1e","1cd9a7"
"18e468","d365ba"
"18fa9f","441fd9,b94de2"
"191b85","668e81"
"191e7b","f49e31,1b9a42,1b9a42,1b9a42,1b9a42,1b9a42,1b9a42,1b9a42,1b9a42"
"1940e3","b8a7f9,b8a7f9,4a64c3,f4c19e,b8a7f9"
"19511a","31c551"
"195fd8","bd5bd8"
"1962fa","3ff041,e136a1,cacb86"
"1964ec","01f07d,0bf21a"
"1966b5","91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22,91b7ae,033b22"
"196a40","199ac1"
"197b44","b4ea89"
"19913f","9e3330"
"1994bd","68741a"
"1997a8","5e1fb4,88f179,5e1fb4,e8885b,b60d0e,0d5840"
"19aad4","ff7a41,942f4e"
"19b0cf","e8db63,a3951f"
"19c3dd","f644a2"
"1a1825","b3cdc0"
"1a1b6e","a31ec4,40b7c6"
"1a226c","84af4a"
"1a3589","e5a84a,ab9a41"
"1a3a3f","617d42,ff7a41,942f4e,e370f1,8a7287,ff917e,8a7287,15bb70,527bd5,cca902,38f7d5,35be99"
"1a56c3","47823b,68741a"
"1a5b33","2f4428"
"1a6ea5","939d34,b44101"
"1a867b","d498e4,243cab,d36247"
"1a8c83","174baa,2dd6b9"
"1a8d79","9f6886,20a588"
"1ac7f5","31cf23"
"1ac8a9","18e52c,a466bb,7895b8,482db1,18e52c,a466bb,7895b8,482db1"
"1acb4f","31cf23,31cf23,5e3835,b7ca09"
"1af2bc","190c48,fa22a9,190c48,fa22a9,190c48,fa22a9,190c48,fa22a9"
"1af69e","bcd9f1"
"1b0306","6a8bd1"
"1b11c3","00bc89"
"1b14cd","0286ba"
"1b27aa","62c428"
"1b2ff3","440b63,57be3e,377b18,1a8064,9a5ac0,36e456,30c1b7,fa69c9,51e9e5,074558,214225,4ff04f,cb666b,a545b6,ae2370,913c8e,1aec34,ef6376,dcb0a3,bf4a52,b70bc3,e6f39b,dc9c9c,f1ea1b,2c20cb,d8dbc8,da1b6d,51d10b,b9c91e,dbec4c,debff3,b05e0e,326750,cde63b,154c7b,093805,b0aaf1,361519,25a061,22f42a,82d35f,9c000f,8e49a7,57b1bd,ee86a2,f99c06,07a420,a6f0c1,6a65b2,99bdfd,a5aa97,e20487,23d537,07f610,f0c525,6db6c7,64e1af,bf2bc2,d526b6,0ebc58,75c68a,082fba,baba32,b64fa0,9cdbf8,3a536e,3a536e,e403cd,a55e5b,c875d5,7c9cd3,ae2370,bec670,c29fe9,a80e08,e358ef,a04ce4,ae2370,6107e0,da1b6d,a5e4f0,239912,6a6eb8,51e9e5"
"1b557d","ad5cbe"
"1b9faf","115cb5,f52f64,faa1f3"
"1ba0de","cb4487"
"1ba557","973461"
"1bac8d","10861e,12a032"
"1bf5db","33c395"
"1c1740","c0047f"
"1c1b7a","8cbedc"
"1c5a44","1a69bc,07f610"
"1c6345","aa7149"
"1c77e4","1c77e4"
"1ca009","27db81"
"1cb02f","f97c5d,94bbd7,f0522e,04a481"
"1cbbbe","fccc5f,d9ede4,07f610,d9ede4,b51b93,07f610,d9ede4,07f610,d9ede4,68d58f,07f610,b51b93,54d702,56379f,56379f,b51b93,54d702"
"1cc7a8","19e47f"
"1cce1f","f6b0e0"
"1d01ce","88f179"
"1d0ea7","001036"
"1d27a5","26cae7,435c95"
"1d2ce7","21503f,21503f,777f95,d94c88"
"1d3198","fccc5f,b9074c"
"1d4ed8","c1646f"
"1d6379","85d874"
"1d7d0f","31cf23"
"1d8f73","ece228"
"1db5c8","1db5c8"
"1dbc51","61892b,61892b,840415,61892b,074ebd"
"1dc5ec","07386a"
"1de187","1397ce"
"1dfa1e","acbc07,d9a0f3"
"1e1637","b20b42"
"1e30f6","0429d0,1397ce,f1281c,21b1c7"
"1e35d7","48cfc9"
"1e379e","c0bffc"
"1e4e3e","d6366f,66b50e,66b50e,66b50e"
"1e4ffe","dcab64,9f8d75,a97896,9f8d75,0e7052,a97896"
"1e6b45","80ca06"
"1e8864","a39eb2,a39eb2,a39eb2,a39eb2,a39eb2"
"1e97cb","c75817"
"1eba6a","7592fa"
"1ed2e0","ddb629,ddb629"
"1ee57f","86a1d6,1f4b59,9ce385,e3dd0a,624e81,d648ff,07f610,07f610"
"1ee68a","37580c"
"1ef7ed","07f610"
"1f13a9","2f1f53,2f1f53,2f1f53"
"1f17da","b6e5f3"
"1f20c5","afc6d1,f0b38a,d46624,969278,115a40,d5742b,115a40,d5742b,c98e9c,4bc2e6,9443be"
"1f27fd","6d3a8a"
"1f3807","dd39c5,9dc72a,07f610,5540a0"
"1f47f8","42eec5"
"1f66d4","35be99"
"1facb0","66ca4e"
"1fb5ff","77a23a"
